Country,Upvotes,Comments,Date posted,GDP per capita,Population,"Mention of 'Trump' (No = 0, Yes = 1)"
Brazil ,45000,1900,2025,10294.87,216.1M,1
Brazil ,40000,2000,2022,7974.54,215.3M,0
Brazil ,32000,1500,2018,9300.66,206.1M,1
Brazil ,23000,2900,2018,9300.66,206.1M,1
Brazil ,8800,694,2018,9300.66,206.1M,1
Brazil ,7900,202,2020,7074.19,208.6M,1
Brazil ,7500,282,2022,7974.54,215.3M,0
Brazil ,7400,222,2020,7074.19,208.6M,1
Brazil ,7000,257,2022,7974.54,215.3M,0
Brazil ,6900,119,2020,7074.19,208.6M,1
Argentina ,43000,2600,2025,14187.48,45.5M,1
Argentina ,42000,2300,2018,11752.8,44.7M,1
Argentina ,32000,1300,2025,14187.48,45.5M,1
Argentina ,13000,254,2025,14187.48,45.5M,1
Argentina ,10000,369,2025,14187.48,45.5M,0
Argentina ,8500,915,2025,14187.48,45.5M,0
Argentina ,7300,153,2025,14187.48,45.5M,1
Argentina ,6700,630,2025,14187.48,45.5M,1
Argentina ,6500,1400,2016,12699.96,43.9M,1
Argentina ,5000,321,2025,14187.48,45.5M,0
Botswana ,1200,47,2017,7104.86,2.26M,1
Botswana ,790,43,2017,7104.86,2.26M,1
Botswana ,128,7,2017,7104.86,2.26M,1
Botswana ,28,4,2017,7104.86,2.26M,0
Botswana ,6,0,2011,7287.38,2.07M,0
Botswana ,1,1,2009,5082.93,1.99M,0
Botswana ,1,0,2008,5503.07,1.95M,0
Botswana ,0,9,2011,7287.38,2.07M,0
Botswana ,0,1,2017,7104.96,2.26M,0
Mexico,73000,6100,2017,9649.28,123.4M,0
Mexico,64000,3000,2020,8841.27,126.8M,0
Mexico,55000,4500,2018,10084.79,124.6M,0
Mexico,53000,6300,2020,8841.27,126.8M,0
Mexico,52000,4200,2018,10084.79,124.6M,1
Mexico,50000,3300,2020,8841.27,126.8M,0
Mexico,45000,4100,2018,10084.79,124.6M,1
Mexico,43000,2100,2021,10314.05,127.6M,0
Mexico,40000,2400,2017,9649.28,123.4M,1
Mexico,40000,2500,2017,9649.28,123.4M,1
China,81000,4900,2019,10143.86,1407.7M,1
China,61000,2300,2020,10408.72,1411.1M,1
China,60000,2600,2019,10143.86,1407.7M,1
China,49000,1700,2020,10408.72,1411.1M,0
China,48000,20000,2019,10143.86,1407.7M,1
China,47000,6000,2017,8817.05,1396.2M,1
China,46000,3500,2018,9905.41,1402.8M,0
China,44000,2200,2017,8817.05,1396.2M,1
China,43000,3900,2018,9905.41,1402.8M,1
China,42000,4100,2018,9905.41,1402.8M,1
Indonesia,28000,1900,2017,3798.88,267.3M,1
Indonesia,22000,2300,2016,3521.47,264.6M,1
Indonesia,9000,350,2024,4876.31,282.0M,0
Indonesia,3700,149,2018,3860.95,269.9M,0
Indonesia,2300,113,2016,3521.47,264.6M,0
Indonesia,739,241,2010,3665.68,246.3M,0
Indonesia,628,8,2016,3521.47,264.6M,1
Indonesia,456,6,2019,4106.95,272.5M,0
Indonesia,427,27,2017,3798.88,267.3M,1
Indonesia,284,8,2016,3521.47,264.6M,1
Germany,60000,4300,2019,47623.87,83.1M,1
Germany,55000,2600,2020,47379.77,83.2M,0
Germany,51000,2000,2018,48874.86,82.9M,0
Germany,47000,6300,2016,42961.04,82.3M,1
Germany,41000,1200,2020,47379.77,83.2M,1
Germany,38000,4900,2017,45526.6,82.7M,1
Germany,36000,2100,2020,47379.77,83.2M,1
Germany,32000,2800,2018,48874.86,82.9M,1
Germany,32000,4600,2016,42961.04,82.3M,1
Germany,28000,2200,2022,49686.12,83.8M,0
France,55000,2500,2020,39169.86,67.6M,1
France,49000,2600,2018,41418.18,67.2M,0
France,46000,2600,2017,38687.16,66.9M,0
France,43000,2900,2019,40408.28,67.4M,1
France,41000,2300,2016,37024.22,66.7M,1
France,41000,3100,2018,41418.18,67.2M,1
France,32000,2300,2016,37024.22,66.7M,1
France,27000,3700,2017,38687.16,66.9M,1
France,27000,2400,2017,38687.16,66.9M,0
France,23000,4000,2016,37024.22,66.7M,1
Nigeria,9100,366,2025,1596.64,227.9M,1
Nigeria,7100,304,2019,2265.16,209.5M,1
Nigeria,1600,197,2025,1596.64,227.9M,1
Nigeria,843,51,2018,2057.88,204.9M,0
Nigeria,685,52,2019,2265.16,209.5M,1
Nigeria,659,315,2025,1596.64,227.9M,1
Nigeria,535,128,2011,2418.41,171.4M,0
Nigeria,532,17,2019,2265.16,209.5M,1
Nigeria,512,41,2025,1596.64,227.9M,0
Nigeria,507,47,2020,2019.66,214.0M,1
Egypt,41000,3100,2019,2962.99,107.6M,1
Egypt,7500,188,2025,3457.46,114.5M,1
Egypt,6900,184,2020,3511.11,109.3M,1
Egypt,6200,194,2025,3457.46,114.5M,1
Egypt,6100,186,2019,2962.99,107.6M,1
Egypt,4200,173,2025,3457.46,114.5M,1
Egypt,4000,112,2021,3827.35,111.0M,1
Egypt,3200,1300,2012,2996.07,93.2M,0
Egypt,3100,71,2020,3511.11,109.3M,1
Egypt,2900,133,2025,3457.46,114.5M,1
Namibia,85,40,2007,4379.04,2.02M,0
Namibia,50,30,2016,4395.69,2.44M,1
Namibia,8,4,2017,5143.96,2.51M,0
Namibia,1,0,2012,5942.65,2.19M,0
Namibia,1,4,2011,5834.79,2.15M,0
(Nambia),33000,3800,2018,5143.96,2.51M,1
(Nambia),4000,199,2019,5143.96,2.51M,1
(Nambia),267,42,2018,5143.96,2.51M,1
(Nambia),70,15,2018,5143.96,2.51M,1
(Nambia),54,10,2018,5143.96,2.51M,1
Singapore,12000,444,2021,79601.41,5.45M,1
Singapore,6400,1500,2018,66840.64,5.64M,1
Singapore,4000,609,2018,66840.64,5.64M,1
Singapore,3900,146,2018,66840.64,5.64M,1
